id,active,status,first_name,last_name,team_code,team_id,position,height,weight,birth_date,age,depth_order,college,experience,injury_status,injury_body_part,injury_notes,injury_start_date,draftkings_name,fanduel_name,fantasydraft_name,yahoo_name,draftkings_player_id,fanduel_player_id,fantasyalarm_player_id,fantasydraft_player_id,rotowire_player_id,rotoworld_player_id,sportsdata_player_id,sportsdirect_player_id,sportsradar_player_id,stats_player_id,usatoday_player_id,yahoo_player_id,updated_at,league,rts_id
100000,TRUE,Active,Camaron,Cheeseman,,35,LS,"6'4""",237,4/26/1998 0:00,24,0,Michigan,2,NULL,NULL,NULL,0001-01-01 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15652,NULL,22930,121389,NULL,NULL,8274264,33613,02:07.8,nfl,0
100001,FALSE,Inactive,Ryan,Fitzpatrick,,0,QB,"6'2""",228,11/24/1982 0:00,39,0,Harvard,18,NULL,NULL,NULL,0001-01-01 00:00:00,Ryan Fitzpatrick,Ryan Fitzpatrick,Ryan Fitzpatrick,Ryan Fitzpatrick,161355,7659,302673,161355,4385,3240,8283,19131,NULL,161355,8274268,7426,00:12.4,nfl,0
100002,FALSE,Inactive,Lamar,Miller,,0,RB,"5'10""",221,4/25/1991 0:00,31,0,Miami (FL),9,NULL,NULL,NULL,0001-01-01 00:00:00,Lamar Miller,Lamar Miller,Lamar Miller,Lamar Miller,508924,22037,300133,508924,8008,7408,13791,41406,NULL,508924,8250133,25807,00:17.4,nfl,0
100003,TRUE,Active,Dustin,Hopkins,,29,K,"6'2""",205,10/1/1990 0:00,31,1,Florida State,9,NULL,NULL,NULL,0001-01-01 00:00:00,Dustin Hopkins,Dustin Hopkins,NULL,Dustin Hopkins,509358,24912,300699,NULL,8896,8581,14867,44596,NULL,509358,8277516,26800,00:21.0,nfl,0
100004,TRUE,Active,Vinny,Curry,,24,DE,"6'3""",279,6/30/1988 0:00,33,3,Marshall,10,NULL,NULL,NULL,0001-01-01 00:00:00,Vinny Curry,NULL,NULL,Vinny Curry,NULL,NULL,301677,NULL,8139,7531,13722,38505,NULL,407642,8274936,25769,00:16.9,nfl,0
100005,TRUE,Active,Ryan,Griffin,,6,TE,"6'6""",255,1/11/1990 0:00,32,2,Connecticut,10,NULL,NULL,NULL,0001-01-01 00:00:00,Ryan Griffin,Ryan Griffin,Ryan Griffin,Ryan Griffin,465129,34073,301449,465129,8911,8600,14985,36347,NULL,465129,8254769,26824,00:22.6,nfl,0
100006,TRUE,Active,C.J.,Mosley,,24,ILB,"6'2""",250,6/19/1992 0:00,30,1,Alabama,8,NULL,NULL,NULL,0001-01-01 00:00:00,C.J. Mosley,NULL,NULL,C.J. Mosley,557173,NULL,302324,NULL,9380,9631,16093,46098,NULL,NULL,8254812,27545,00:28.2,nfl,0
100007,FALSE,Inactive,Bennett,Jackson,,0,CB,"6'0""",192,9/16/1991 0:00,30,0,Notre Dame,4,NULL,NULL,NULL,0001-01-01 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,300358,NULL,9671,NULL,16396,49633,NULL,NULL,8254785,27715,00:30.4,nfl,0
100008,TRUE,Active,Tyron,Smith,,9,OT,"6'5""",320,12/12/1990 0:00,31,1,USC,12,NULL,NULL,NULL,0001-01-01 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,300670,NULL,7349,6441,13129,37665,NULL,NULL,8250948,24796,00:15.9,nfl,0
100009,TRUE,Active,Jake,McQuaide,,9,LS,"6'2""",247,12/7/1987 0:00,34,0,Ohio State,12,NULL,NULL,NULL,0001-01-01 00:00:00,Jake McQuaide,NULL,NULL,NULL,353437,NULL,300209,NULL,7990,NULL,13388,35933,NULL,NULL,8274363,25549,00:16.4,nfl,0
100010,TRUE,Active,Bryan,Anger,,9,P,"6'3""",202,10/6/1988 0:00,33,0,California,11,NULL,NULL,NULL,0001-01-01 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,302808,NULL,8251,7541,14017,37348,NULL,NULL,8274337,25780,00:18.4,nfl,0
100011,TRUE,Active,Greg,Zuerlein,,24,K,"6'0""",191,12/27/1987 0:00,34,1,Missouri Western State,11,NULL,NULL,NULL,0001-01-01 00:00:00,Greg Zuerlein,Greg Zuerlein,NULL,Greg Zuerlein,558684,22109,300723,NULL,8179,7616,14697,56012,NULL,558684,8251000,25881,00:20.3,nfl,0
100012,TRUE,Active,Lamarcus,Joyner,,24,FS,"5'8""",185,11/27/1990 0:00,31,1,Florida State,9,NULL,NULL,NULL,0001-01-01 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,300506,NULL,9327,9635,16625,46624,NULL,NULL,8274948,27569,00:31.8,nfl,0
100013,TRUE,Active,Tevin,Coleman,,24,RB,"6'1""",210,4/16/1993 0:00,29,3,Indiana,8,NULL,NULL,NULL,0001-01-01 00:00:00,Tevin Coleman,Tevin Coleman,Tevin Coleman,Tevin Coleman,696080,27776,303517,696080,10081,10359,16834,60219,NULL,696080,8274935,28461,00:34.4,nfl,0
100014,TRUE,Active,Tyler,Kroft,,31,TE,"6'6""",252,10/15/1992 0:00,29,0,Rutgers,8,NULL,NULL,NULL,0001-01-01 00:00:00,Tyler Kroft,Tyler Kroft,Tyler Kroft,Tyler Kroft,592268,26038,303088,592268,10247,10490,16846,51909,NULL,592268,8274949,28473,00:34.6,nfl,0
100015,TRUE,Active,Jamison,Crowder,,4,WR,"5'9""",177,6/17/1993 0:00,29,1,Duke,8,NULL,NULL,NULL,0001-01-01 00:00:00,Jamison Crowder,Jamison Crowder,Jamison Crowder,Jamison Crowder,599649,24755,303384,599649,10224,10373,16866,51654,NULL,599649,8254749,28493,00:34.9,nfl,0
