id,week,season,operator,operator_slate_id,operator_start_time,sportsdata_id,number_of_games,name,game_type,is_multi_day_slate,salary_cap,roster_slots,active,updated_at,display_name,status,league,rts_id
742,1,2021REG,DraftKings,53018,9/9/2021 20:20,6431,1,DAL vs TB,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,30:38.6,DAL @ TB,disabled,nfl,0
752,1,2021REG,DraftKings,55843,9/12/2021 20:20,6585,1,CHI vs LAR,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,35:23.0,CHI @ LAR,disabled,nfl,0
755,1,2021REG,DraftKings,55990,9/12/2021 13:00,6591,1,JAX vs HOU,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,32:43.9,JAX @ HOU,disabled,nfl,0
756,1,2021REG,DraftKings,55991,9/12/2021 13:00,6592,1,LAC vs WAS,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,32:49.0,LAC @ WAS,disabled,nfl,0
757,1,2021REG,DraftKings,55992,9/12/2021 13:00,6593,1,SEA vs IND,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,32:53.5,SEA @ IND,disabled,nfl,0
758,1,2021REG,DraftKings,55993,9/12/2021 13:00,6594,1,NYJ vs CAR,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,32:58.5,NYJ @ CAR,disabled,nfl,0
759,1,2021REG,DraftKings,55994,9/12/2021 13:00,6595,1,MIN vs CIN,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,33:03.5,MIN @ CIN,disabled,nfl,0
760,1,2021REG,DraftKings,55995,9/12/2021 13:00,6596,1,ARI vs TEN,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,33:10.9,ARI @ TEN,disabled,nfl,0
761,1,2021REG,DraftKings,55996,9/12/2021 13:00,6608,1,SF vs DET,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,33:15.7,SF @ DET,disabled,nfl,0
762,1,2021REG,DraftKings,55997,9/12/2021 13:00,6609,1,PIT vs BUF,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,33:21.3,PIT @ BUF,disabled,nfl,0
763,1,2021REG,DraftKings,55998,9/12/2021 13:00,6610,1,PHI vs ATL,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,33:26.3,PHI @ ATL,disabled,nfl,0
766,1,2021REG,DraftKings,55999,9/12/2021 16:25,6603,1,CLE vs KC,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,34:26.3,CLE @ KC,disabled,nfl,0
767,1,2021REG,DraftKings,56000,9/12/2021 16:25,6604,1,GB vs NO,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,34:32.4,GB @ NO,disabled,nfl,0
768,1,2021REG,DraftKings,56001,9/12/2021 16:25,6605,1,DEN vs NYG,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,34:39.1,DEN @ NYG,disabled,nfl,0
769,1,2021REG,DraftKings,56002,9/12/2021 16:25,6606,1,MIA vs NE,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,34:44.7,MIA @ NE,disabled,nfl,0
772,1,2021REG,DraftKings,56003,9/13/2021 20:15,6600,1,BAL vs LV,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,35:40.9,BAL @ LV,active,nfl,0
817,2,2021REG,DraftKings,56004,9/16/2021 20:20,6599,1,NYG vs WAS,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,29:19.7,NYG @ WAS,disabled,nfl,0
821,2,2021REG,DraftKings,56304,9/19/2021 13:00,6684,1,NE vs NYJ,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,31:26.7,NE vs NYJ,disabled,nfl,0
822,2,2021REG,DraftKings,56305,9/19/2021 13:00,6685,1,DEN vs JAX,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,31:30.8,DEN vs JAX,disabled,nfl,0
823,2,2021REG,DraftKings,56306,9/19/2021 13:00,6686,1,BUF vs MIA,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,31:34.7,BUF vs MIA,disabled,nfl,0
824,2,2021REG,DraftKings,56307,9/19/2021 13:00,6687,1,SF vs PHI,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,31:40.2,SF vs PHI,disabled,nfl,0
825,2,2021REG,DraftKings,56308,9/19/2021 13:00,6688,1,LAR vs IND,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,31:43.8,LAR vs IND,disabled,nfl,0
826,2,2021REG,DraftKings,56309,9/19/2021 13:00,6689,1,LV vs PIT,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,31:47.9,LV vs PIT,disabled,nfl,0
827,2,2021REG,DraftKings,56310,9/19/2021 13:00,6690,1,CIN vs CHI,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,31:51.6,CIN vs CHI,disabled,nfl,0
828,2,2021REG,DraftKings,56311,9/19/2021 13:00,6691,1,HOU vs CLE,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,31:57.3,HOU vs CLE,disabled,nfl,0
831,2,2021REG,DraftKings,56312,9/19/2021 13:00,6703,1,NO vs CAR,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,32:58.4,NO vs CAR,disabled,nfl,0
833,2,2021REG,DraftKings,56315,9/19/2021 16:05,6700,1,MIN vs ARI,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,33:25.5,MIN vs ARI,disabled,nfl,0
834,2,2021REG,DraftKings,56316,9/19/2021 16:05,6701,1,ATL vs TB,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,33:29.4,ATL vs TB,disabled,nfl,0
836,2,2021REG,DraftKings,56317,9/19/2021 16:25,6698,1,TEN vs SEA,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,33:39.9,TEN vs SEA,disabled,nfl,0
837,2,2021REG,DraftKings,56318,9/19/2021 16:25,6699,1,DAL vs LAC,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,33:45.8,DAL vs LAC,disabled,nfl,0
839,2,2021REG,DraftKings,56319,9/19/2021 20:20,6696,1,KC vs BAL,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,34:11.4,KC vs BAL,disabled,nfl,0
841,2,2021REG,DraftKings,56320,9/20/2021 20:15,6695,1,DET vs GB,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,34:29.9,DET vs GB,active,nfl,0
923,3,2021REG,DraftKings,56321,9/23/2021 20:20,6694,1,CAR vs HOU,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,45:34.8,CAR vs HOU,disabled,nfl,0
926,3,2021REG,DraftKings,56120,9/26/2021 13:00,6660,1,WAS vs BUF,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,45:47.9,WAS vs BUF,disabled,nfl,0
934,3,2021REG,DraftKings,56621,9/26/2021 13:00,6806,1,CHI vs CLE,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,47:22.6,CHI vs CLE,disabled,nfl,0
935,3,2021REG,DraftKings,56622,9/26/2021 13:00,6807,1,IND vs TEN,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,47:26.5,IND vs TEN,disabled,nfl,0
936,3,2021REG,DraftKings,56623,9/26/2021 13:00,6808,1,ATL vs NYG,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,47:30.6,ATL vs NYG,disabled,nfl,0
937,3,2021REG,DraftKings,56624,9/26/2021 13:00,6809,1,LAC vs KC,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,47:34.7,LAC vs KC,disabled,nfl,0
938,3,2021REG,DraftKings,56625,9/26/2021 13:00,6810,1,CIN vs PIT,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,47:38.3,CIN vs PIT,disabled,nfl,0
939,3,2021REG,DraftKings,56626,9/26/2021 13:00,6811,1,BAL vs DET,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,47:41.9,BAL vs DET,disabled,nfl,0
940,3,2021REG,DraftKings,56627,9/26/2021 13:00,6812,1,NO vs NE,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,47:45.9,NO vs NE,disabled,nfl,0
941,3,2021REG,DraftKings,56628,9/26/2021 13:00,6813,1,ARI vs JAX,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,47:49.9,ARI vs JAX,disabled,nfl,0
944,3,2021REG,DraftKings,56629,9/26/2021 16:05,6801,1,NYJ vs DEN,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,48:13.2,NYJ vs DEN,disabled,nfl,0
945,3,2021REG,DraftKings,56630,9/26/2021 16:05,6802,1,MIA vs LV,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,48:16.7,MIA vs LV,disabled,nfl,0
947,3,2021REG,DraftKings,56631,9/26/2021 16:25,6799,1,SEA vs MIN,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,48:24.8,SEA vs MIN,disabled,nfl,0
948,3,2021REG,DraftKings,56632,9/26/2021 16:25,6800,1,TB vs LAR,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,48:28.8,TB vs LAR,disabled,nfl,0
950,3,2021REG,DraftKings,56633,9/26/2021 20:20,6796,1,GB vs SF,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,48:51.0,GB vs SF,disabled,nfl,0
952,3,2021REG,DraftKings,56634,9/27/2021 20:15,6794,1,PHI vs DAL,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,49:07.7,PHI vs DAL,active,nfl,0
1003,4,2021REG,DraftKings,56635,9/30/2021 20:20,6792,1,JAX vs CIN,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,36:06.6,JAX @ CIN,disabled,nfl,0
1011,4,2021REG,DraftKings,56995,10/3/2021 13:00,6899,1,HOU vs BUF,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,38:05.2,HOU vs BUF,disabled,nfl,0
1012,4,2021REG,DraftKings,56996,10/3/2021 13:00,6900,1,DET vs CHI,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,38:09.8,DET vs CHI,disabled,nfl,0
1013,4,2021REG,DraftKings,56997,10/3/2021 13:00,6901,1,TEN vs NYJ,Showdown Captain Mode,FALSE,50000,"CPT,FLEX,FLEX,FLEX,FLEX,FLEX",FALSE,38:14.8,TEN vs NYJ,disabled,nfl,0
