id,city,name,short_code,active,conference,division,head_coach,offensive_coordinator,defensive_coordinator,special_teams_coach,offensive_scheme,defensive_scheme,primary_color,secondary_color,tertiary_color,quaternary_color,injury_status,injury_body_part,injury_notes,injury_start_date,sportsdata_team_id,draftkings_player_id,fanduel_player_id,fantasydraft_player_id,yahoo_player_id,updated_at,nfl_fastr_code,sportsdata_fantasy_id,league,rts_id
1,Arizona,Cardinals,ARI,FALSE,NFC,West,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Jeff Rodgers,3WR,4-Mar,97233F,FFFFFF,0,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,1,355,12546,355,NULL,30:25.8,ARI,1,nfl,0
2,Atlanta,Falcons,ATL,FALSE,NFC,South,Arthur Smith,Dave Ragone,Dean Pees,Marquice Williams,3WR,4-Mar,0,A71930,A5ACAF,FFFFFF,NULL,NULL,NULL,0001-01-01 00:00:00,2,323,12525,323,NULL,30:25.9,ATL,2,nfl,0
3,Baltimore,Ravens,BAL,FALSE,AFC,North,John Harbaugh,Greg Roman,Mike Macdonald,Chris Horton,3WR,4-Mar,24135F,0,9A7611,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,3,366,12555,366,NULL,30:25.9,BAL,36,nfl,0
4,Buffalo,Bills,BUF,FALSE,AFC,East,Sean McDermott,Ken Dorsey,Leslie Frazier,Matthew Smiley,3WR,3-Apr,00338D,C60C30,FFFFFF,00274D,NULL,NULL,NULL,0001-01-01 00:00:00,4,324,12526,324,NULL,30:26.0,BUF,37,nfl,0
5,Carolina,Panthers,CAR,FALSE,NFC,South,Matt Rhule,Ben McAdoo,Phil Snow,Chris Tabor,3WR,3-Apr,0,0085CA,BFC0BF,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,5,364,12553,364,NULL,30:26.0,CAR,5,nfl,0
6,Chicago,Bears,CHI,FALSE,NFC,North,Matt Eberflus,Luke Getsy,Alan Williams,Richard Hightower,3WR,4-Mar,0B162A,E64100,FFFFFF,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,6,326,12527,326,NULL,30:26.0,CHI,38,nfl,0
7,Cincinnati,Bengals,CIN,FALSE,AFC,North,Zac Taylor,Brian Callahan,Lou Anarumo,Darrin Simmons,3WR,3-Apr,0,FB4F14,FFFFFF,,NULL,NULL,NULL,0001-01-01 00:00:00,7,327,12528,327,NULL,30:26.1,CIN,7,nfl,0
8,Cleveland,Browns,CLE,FALSE,AFC,North,Kevin Stefanski,Alex Van Pelt,Joe Woods,Mike Priefer,3WR,3-Apr,311D00,FF3300,FFFFFF,,NULL,NULL,NULL,0001-01-01 00:00:00,8,329,12529,329,NULL,30:26.1,CLE,8,nfl,0
9,Dallas,Cowboys,DAL,FALSE,NFC,East,Mike McCarthy,Kellen Moore,Dan Quinn,John Fassel,3WR,3-Apr,2244,B0B7BC,00338D,FFFFFF,NULL,NULL,NULL,0001-01-01 00:00:00,9,331,12530,331,NULL,30:26.2,DAL,48,nfl,0
10,Denver,Broncos,DEN,FALSE,AFC,West,Nathaniel Hackett,Justin Outten,Ed Donatell,Tom McMahon,3WR,4-Mar,FC4C02,0A2343,FFFFFF,NULL,NULL,NULL,NULL,0001-01-01 00:00:00,10,332,12531,332,NULL,30:26.2,DEN,49,nfl,0
