"id","team_id","game_id","implied_total","implied_tds","proj_plays","proj_rush_rate","proj_rush_td_ratio","proj_rush_attempts","proj_pass_attempts","proj_rush_tds","proj_pass_tds","proj_tds","sack_rate","updated_at"
1,13,1,22.75,0.0,60.4813,0.4118,0.3562,24.9059,35.5754,0.9064,1.6383,2.5438,0.0591,"2021-08-03 23:02:11.402428"
2,16,1,31.75,0.0,63.1313,0.423,0.3206,26.7063,36.425,1.1385,2.4129,3.5515,0.0543,"2021-08-03 23:02:11.453229"
3,6,6,20.25,0.0,63.1938,0.4508,0.3341,28.4853,34.7084,0.7567,1.5084,2.2643,0.0601,"2021-08-03 23:02:11.504674"
4,11,6,22.75,0.0,61.0063,0.4775,0.429,29.1302,31.8761,1.0916,1.4532,2.5433,0.0413,"2021-08-03 23:02:11.556456"
5,8,3,20.0,0.0,58.6813,0.407,0.3942,23.8849,34.7963,0.8819,1.3552,2.2371,0.061,"2021-08-03 23:02:11.607038"
6,3,3,27.5,0.0,65.0313,0.4595,0.419,29.8837,35.1476,1.2889,1.7872,3.073,0.0614,"2021-08-03 23:02:11.658276"
7,12,8,21.25,0.0,61.0688,0.4404,0.3422,26.8923,34.1764,0.8133,1.5637,2.3754,0.0711,"2021-08-03 23:02:11.710313"
8,20,8,23.75,0.0,57.1688,0.4457,0.4298,25.4798,31.6889,1.1418,1.5148,2.6566,0.0408,"2021-08-03 23:02:11.761549"
9,14,7,26.75,0.0,64.2563,0.46,0.4021,29.5579,34.6984,1.2032,1.789,2.9922,0.0664,"2021-08-03 23:02:11.812897"
10,15,7,18.25,0.0,57.1438,0.3912,0.3185,22.3543,34.7894,0.6502,1.3912,2.04,0.0327,"2021-08-03 23:02:11.86477"
11,25,5,25.0,0.0,59.3563,0.414,0.4142,24.5712,34.7851,1.1581,1.6383,2.7981,0.0474,"2021-08-03 23:02:11.918012"
12,5,5,22.5,0.0,59.3188,0.3997,0.3853,23.7114,35.6074,0.9697,1.5471,2.5174,0.0472,"2021-08-03 23:02:11.969892"
13,19,9,17.25,0.0,57.2938,0.4767,0.3552,27.31,29.9837,0.6853,1.2442,1.9295,0.07,"2021-08-03 23:02:12.022563"
14,21,9,24.25,0.0,61.6688,0.4476,0.3656,27.6006,34.0682,0.9916,1.721,2.715,0.0463,"2021-08-03 23:02:12.076017"
15,24,4,16.5,0.0,58.1188,0.3687,0.3593,21.4261,36.6926,0.6631,1.1825,1.8438,0.0487,"2021-08-03 23:02:12.129274"
16,4,4,23.0,0.0,64.6813,0.4531,0.3587,29.3089,35.3724,0.9228,1.6499,2.5709,0.0622,"2021-08-03 23:02:12.181125"
17,26,10,24.0,0.0,61.9438,0.4544,0.3611,28.1469,33.7968,0.9693,1.7153,2.6846,0.0846,"2021-08-03 23:02:12.230554"
18,35,10,18.5,0.0,61.6563,0.4552,0.3872,28.0677,33.5886,0.8011,1.2682,2.0732,0.0816,"2021-08-03 23:02:12.280042"
19,30,2,25.75,0.0,61.4938,0.4233,0.364,26.0324,35.4614,1.0484,1.832,2.8803,0.0639,"2021-08-03 23:02:12.330122"
20,2,2,23.25,0.0,68.3125,0.3267,0.3714,22.3154,45.9971,0.9659,1.6348,2.6033,0.0443,"2021-08-03 23:02:12.3809"
21,29,11,22.5,0.0,59.7563,0.4583,0.3642,27.384,32.3723,0.9165,1.6002,2.5168,0.0882,"2021-08-03 23:02:12.431146"
22,7,11,19.5,0.0,58.6313,0.3604,0.3575,21.1304,37.5009,0.7798,1.4014,2.184,0.0305,"2021-08-03 23:02:12.480901"
23,1,13,20.75,0.0,61.7658,0.4761,0.3675,29.4043,32.3615,0.853,1.468,2.3158,0.0777,"2021-08-03 23:02:12.530295"
24,31,13,27.25,0.0,62.2313,0.4651,0.353,28.9455,33.2857,1.0761,1.972,3.0481,0.0529,"2021-08-03 23:02:12.580105"
25,33,12,22.25,0.0,61.5813,0.3679,0.3412,22.6534,38.9279,0.8491,1.6398,2.4872,0.0722,"2021-08-03 23:02:12.629487"
