Order,Week,Day,Link,ID,location,Game_ID,Slate_ID,Away,Home
1,1,Thursday,https://www.draftkings.com/contest/gamecenter/111604182,111604182,DraftKings_Contest_Files_1,266,742,DAL,TB
2,1,Sunday,https://www.draftkings.com/contest/gamecenter/113173071,113173071,DraftKings_Contest_Files_2,280,752,CHI,LAR
3,1,Monday,https://www.draftkings.com/contest/gamecenter/113032960,113032960,DraftKings_Contest_Files_1,281,772,BAL,LV
4,2,Thursday,https://www.draftkings.com/contest/gamecenter/113459419,113459419,DraftKings_Contest_Files_1,282,817,NYG,WAS
5,2,Sunday,https://www.draftkings.com/contest/gamecenter/113670509,113670509,DraftKings_Contest_Files_2,296,839,KC,BAL
6,2,Monday,https://www.draftkings.com/contest/gamecenter/113573595,113573595,DraftKings_Contest_Files_1,297,841,DET,GB
7,3,Thursday,https://www.draftkings.com/contest/gamecenter/113971651,113971651,DraftKings_Contest_Files_1,298,923,CAR,HOU
8,3,Sunday,https://www.draftkings.com/contest/gamecenter/114202673,114202673,DraftKings_Contest_Files_2,312,950,GB,SF
9,3,Monday,https://www.draftkings.com/contest/gamecenter/114067252,114067252,DraftKings_Contest_Files_1,313,952,PHI,DAL
10,4,Thursday,https://www.draftkings.com/contest/gamecenter/114476861,114476861,DraftKings_Contest_Files_1,314,1003,JAC,CIN
11,4,Sunday,https://www.draftkings.com/contest/gamecenter/114578572,114578572,DraftKings_Contest_Files_1,328,1034,TB,NE
12,4,Monday,https://www.draftkings.com/contest/gamecenter/114578579,114578579,DraftKings_Contest_Files_1,329,1038,LV,LAC
13,5,Thursday,https://www.draftkings.com/contest/gamecenter/115009372,115009372,DraftKings_Contest_Files_1,330,1074,LAR,SEA
14,5,Sunday,https://www.draftkings.com/contest/gamecenter/115220853,115220853,DraftKings_Contest_Files_1,344,1103,BUF,KC
15,5,Monday,https://www.draftkings.com/contest/gamecenter/115301763,115301763,DraftKings_Contest_Files_1,345,1080,IND,BAL
16,6,Thursday,https://www.draftkings.com/contest/gamecenter/115526665,115526665,DraftKings_Contest_Files_1,346,1157,TB,PHI
17,6,Sunday,https://www.draftkings.com/contest/gamecenter/115746598,115746598,DraftKings_Contest_Files_2,358,1181,SEA,PIT
18,6,Monday,https://www.draftkings.com/contest/gamecenter/115805770,115805770,DraftKings_Contest_Files_1,359,1183,BUF,TEN
19,7,Thursday,https://www.draftkings.com/contest/gamecenter/116060319,116060319,DraftKings_Contest_Files_1,360,1230,DEN,CLE
20,7,Sunday,https://www.draftkings.com/contest/gamecenter/116339828,116339828,DraftKings_Contest_Files_2,371,1248,IND,SF
21,7,Monday,https://www.draftkings.com/contest/gamecenter/116465537,116465537,DraftKings_Contest_Files_2,372,1250,NO,SEA
22,8,Thursday,https://www.draftkings.com/contest/gamecenter/116706774,116706774,DraftKings_Contest_Files_1,373,1296,GB,ARI
23,8,Sunday,https://www.draftkings.com/contest/gamecenter/116974118,116974118,DraftKings_Contest_Files_2,386,1319,DAL,MIN
24,8,Monday,https://www.draftkings.com/contest/gamecenter/117021737,117021737,DraftKings_Contest_Files_1,387,1321,NYG,KC
25,9,Thursday,https://www.draftkings.com/contest/gamecenter/117325136,117325136,DraftKings_Contest_Files_2,388,1368,NYJ,IND
26,9,Sunday,https://www.draftkings.com/contest/gamecenter/117561185,117561185,DraftKings_Contest_Files_2,400,1401,TEN,LAR
27,9,Monday,https://www.draftkings.com/contest/gamecenter/117630566,117630566,DraftKings_Contest_Files_1,401,1402,CHI,PIT
28,10,Thursday,https://www.draftkings.com/contest/gamecenter/117930883,117930883,DraftKings_Contest_Files_1,402,1437,BAL,MIA
29,10,Sunday,https://www.draftkings.com/contest/gamecenter/118136838,118136838,DraftKings_Contest_Files_2,414,1456,KC,LV
