Lineup,Count,Expected Dupes (Simple Method),Slate Id,Simmed Duplicates
CPT Alex Collins FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Chris Boswell FLEX Pat Freiermuth,45,20.0,1181,29.0
CPT Alex Collins FLEX Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Chris Boswell FLEX Pat Freiermuth,9,17.0,1181,13.0
CPT Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Chris Boswell FLEX DeeJay Dallas,137,85.0,1181,99.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth FLEX DeeJay Dallas,41,67.0,1181,15.0
CPT Alex Collins FLEX Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Chris Boswell FLEX Pat Freiermuth,5,14.0,1181,6.0
CPT Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth FLEX DeeJay Dallas,3,55.0,1181,5.0
CPT Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Alex Collins FLEX Chris Boswell FLEX DeeJay Dallas,47,74.0,1181,80.0
CPT Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth FLEX DeeJay Dallas,7,48.0,1181,1.0
CPT Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Steelers  FLEX Chris Boswell FLEX Pat Freiermuth,6,27.0,1181,1.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth FLEX Will Dissly,85,26.0,1181,17.0
CPT Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth FLEX Will Dissly,11,22.0,1181,3.0
CPT Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth FLEX Will Dissly,7,19.0,1181,3.0
CPT Alex Collins FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Chris Boswell FLEX DeeJay Dallas,6,33.0,1181,11.0
CPT Alex Collins FLEX Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Chris Boswell FLEX Jason Myers,172,14.0,1181,52.0
CPT Alex Collins FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Jason Myers FLEX Pat Freiermuth,23,11.0,1181,12.0
CPT Alex Collins FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Pat Freiermuth FLEX DeeJay Dallas,2,21.0,1181,1.0
CPT Alex Collins FLEX Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Jason Myers FLEX Pat Freiermuth,1,9.0,1181,1.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX Jason Myers FLEX DeeJay Dallas,165,55.0,1181,86.0
CPT Chris Boswell FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth,1,4.0,1181,1.0
CPT Alex Collins FLEX Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Chris Boswell FLEX DeeJay Dallas,2,24.0,1181,3.0
CPT Diontae Johnson FLEX Najee Harris FLEX Ben Roethlisberger FLEX Alex Collins FLEX Chris Boswell FLEX DeeJay Dallas,101,55.0,1181,83.0
CPT Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Jason Myers FLEX DeeJay Dallas,15,46.0,1181,28.0
CPT Diontae Johnson FLEX Najee Harris FLEX DK Metcalf FLEX Alex Collins FLEX Chris Boswell FLEX DeeJay Dallas,7,45.0,1181,6.0
CPT Pat Freiermuth FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX Chris Boswell,4,7.0,1181,3.0
CPT Pat Freiermuth FLEX Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Chris Boswell,2,6.0,1181,3.0
CPT Alex Collins FLEX Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Jason Myers FLEX Pat Freiermuth,4,8.0,1181,3.0
CPT Alex Collins FLEX Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Pat Freiermuth FLEX DeeJay Dallas,1,15.0,1181,1.0
CPT Diontae Johnson FLEX Najee Harris FLEX Ben Roethlisberger FLEX Alex Collins FLEX Pat Freiermuth FLEX DeeJay Dallas,6,36.0,1181,2.0
CPT Alex Collins FLEX Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Chris Boswell FLEX Eric Ebron,6,10.0,1181,11.0
CPT Alex Collins FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Eric Ebron FLEX Pat Freiermuth,4,7.0,1181,1.0
CPT Najee Harris FLEX Diontae Johnson FLEX Tyler Lockett FLEX Alex Collins FLEX Chris Boswell FLEX Pat Freiermuth,149,50.0,1181,95.0
CPT Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Alex Collins FLEX Jason Myers FLEX DeeJay Dallas,18,40.0,1181,20.0
CPT Diontae Johnson FLEX Najee Harris FLEX Geno Smith FLEX Alex Collins FLEX Chris Boswell FLEX DeeJay Dallas,13,40.0,1181,3.0
CPT Alex Collins FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Chris Boswell FLEX Will Dissly,3,13.0,1181,7.0
CPT Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Chris Boswell FLEX Travis Homer,31,22.0,1181,39.0
CPT Pat Freiermuth FLEX Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Alex Collins FLEX Chris Boswell,1,5.0,1181,1.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth FLEX Travis Homer,6,17.0,1181,3.0
CPT Diontae Johnson FLEX Najee Harris FLEX Geno Smith FLEX Alex Collins FLEX Pat Freiermuth FLEX DeeJay Dallas,1,26.0,1181,0.0
CPT Alex Collins FLEX Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Pat Freiermuth FLEX Will Dissly,1,8.0,1181,0.0
CPT Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth FLEX Travis Homer,4,14.0,1181,0.0
CPT Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Steelers  FLEX Chris Boswell FLEX Jason Myers,32,23.0,1181,8.0
CPT Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Steelers  FLEX Chris Boswell FLEX DeeJay Dallas,2,45.0,1181,0.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX Eric Ebron FLEX DeeJay Dallas,38,38.0,1181,27.0
CPT Alex Collins FLEX Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Chris Boswell FLEX Eric Ebron,5,8.0,1181,5.0
CPT Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Eric Ebron FLEX DeeJay Dallas,4,32.0,1181,3.0
CPT Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Steelers  FLEX Jason Myers FLEX Pat Freiermuth,1,15.0,1181,0.0
CPT Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Steelers  FLEX Pat Freiermuth FLEX DeeJay Dallas,1,29.0,1181,0.0
CPT Alex Collins FLEX Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Eric Ebron FLEX Pat Freiermuth,1,5.0,1181,1.0
CPT Najee Harris FLEX Ben Roethlisberger FLEX Diontae Johnson FLEX Alex Collins FLEX Will Dissly FLEX DeeJay Dallas,5,43.0,1181,2.0
CPT Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Alex Collins FLEX Chris Boswell FLEX Travis Homer,16,19.0,1181,23.0
CPT Diontae Johnson FLEX Najee Harris FLEX DK Metcalf FLEX Alex Collins FLEX Eric Ebron FLEX Pat Freiermuth,5,10.0,1181,13.0
CPT Alex Collins FLEX Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Chris Boswell FLEX Will Dissly,1,9.0,1181,1.0
CPT Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Jason Myers FLEX Will Dissly,49,18.0,1181,20.0
CPT Najee Harris FLEX DK Metcalf FLEX Diontae Johnson FLEX Alex Collins FLEX Will Dissly FLEX DeeJay Dallas,3,36.0,1181,1.0
CPT Diontae Johnson FLEX Najee Harris FLEX DK Metcalf FLEX Alex Collins FLEX Chris Boswell FLEX Will Dissly,9,18.0,1181,12.0
CPT Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Alex Collins FLEX Pat Freiermuth FLEX Travis Homer,2,13.0,1181,1.0
CPT Diontae Johnson FLEX Najee Harris FLEX Ben Roethlisberger FLEX Alex Collins FLEX Pat Freiermuth FLEX Will Dissly,16,14.0,1181,3.0
CPT Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Alex Collins FLEX Eric Ebron FLEX DeeJay Dallas,7,28.0,1181,3.0
CPT Diontae Johnson FLEX Najee Harris FLEX DK Metcalf FLEX Alex Collins FLEX Pat Freiermuth FLEX Will Dissly,1,12.0,1181,0.0
CPT Najee Harris FLEX Diontae Johnson FLEX Alex Collins FLEX Steelers  FLEX Chris Boswell FLEX Eric Ebron,8,16.0,1181,0.0
CPT Najee Harris FLEX Geno Smith FLEX Diontae Johnson FLEX Alex Collins FLEX Will Dissly FLEX DeeJay Dallas,4,31.0,1181,0.0
CPT Diontae Johnson FLEX Najee Harris FLEX Geno Smith FLEX Alex Collins FLEX Chris Boswell FLEX Will Dissly,24,15.0,1181,9.0
